month,country,wmf_region,current_metric,previous_metric,absolute_change,simple_calculation_regional,simple_calculation_global,formula_result_percentage_regional,formula_result_percentage_global
2023-11,Poland,Central & Eastern Europe & Central Asia,23244924.0,24621050.0,1376126.0,15.289363033016334,0.9893858397569462,16.527083920611922,1.8480822162897992
2023-11,Bulgaria,Central & Eastern Europe & Central Asia,5233706.0,3960332.0,1273374.0,14.147743275546093,0.9155107921183538,12.353854433704239,0.9047544574849634
2023-11,Uzbekistan,Central & Eastern Europe & Central Asia,4899869.0,3675465.0,1224404.0,13.603665111390479,0.8803030970578014,11.943509943651605,0.874486024215771
2023-11,Kazakhstan,Central & Eastern Europe & Central Asia,8714369.0,8080953.0,633416.0,7.03752939405336,0.45540366294618795,4.615176039176618,0.2564157652603682
2023-11,Georgia,Central & Eastern Europe & Central Asia,2478170.0,1897210.0,580960.0,6.454720241940905,0.4176896573897997,5.749386200970888,0.41128908715224644
2023-11,Hungary,Central & Eastern Europe & Central Asia,7722948.0,7188581.0,534367.0,5.937051589653738,0.3841909411154212,3.857055731927744,0.20507849690132313
2023-11,Ukraine,Central & Eastern Europe & Central Asia,19091104.0,18628500.0,462604.0,5.139733205044806,0.33259588657937017,0.38033749141295414,0.2122968462986974
2023-11,Czechia,Central & Eastern Europe & Central Asia,8941780.0,8580360.0,361420.0,4.015534614848323,0.25984817538870386,1.7783779781742541,0.021962418289660793
2023-11,Tajikistan,Central & Eastern Europe & Central Asia,724237.0,416216.0,308021.0,3.4222483194073248,0.22145618624150287,3.2256876124453036,0.23709231348526244
2023-11,Lithuania,Central & Eastern Europe & Central Asia,2260195.0,2024770.0,235425.0,2.615674939684208,0.16926223421749104,2.0555785712836845,0.12720383044595293
2023-11,Kosovo,Central & Eastern Europe & Central Asia,526338.0,305361.0,220977.0,2.4551513269474237,0.15887463409017102,2.3159394817043677,0.1699132682113241
2023-11,Cyprus,Central & Eastern Europe & Central Asia,1013388.0,812701.0,200687.0,2.2297205335899104,0.1442868429368403,1.9756443265708548,0.13737256508100393
2023-11,Russia,Central & Eastern Europe & Central Asia,71099781.0,70902668.0,197113.0,2.1900118270615834,0.14171726355872277,9.907124449371267,1.9866568082631506
2023-11,Turkey,Central & Eastern Europe & Central Asia,25825244.0,26014487.0,189243.0,2.1025726775434155,0.13605901238195034,6.6517566877659196,0.954272532362984
2023-11,Slovakia,Central & Eastern Europe & Central Asia,2980042.0,3151510.0,171468.0,1.9050846365414538,0.12327941712564407,2.492592429564032,0.23782851829484428
2023-11,Serbia,Central & Eastern Europe & Central Asia,4412427.0,4283878.0,128549.0,1.4282357346138483,0.09242217668652121,0.4074415712368284,0.03054124724172573
2023-11,Romania,Central & Eastern Europe & Central Asia,7558083.0,7683974.0,125891.0,1.398704189579631,0.09051116885578916,2.910851260311141,0.3420228846219335
2023-11,Moldova,Central & Eastern Europe & Central Asia,1350388.0,1237015.0,113373.0,1.2596237227856757,0.08151117035123547,0.9408805576519359,0.05310201626612515
2023-11,Slovenia,Central & Eastern Europe & Central Asia,1798154.0,1686161.0,111993.0,1.2442913179146375,0.080518999242729,0.8231244559355336,0.03782145467947759
2023-11,Croatia,Central & Eastern Europe & Central Asia,2874965.0,2972958.0,97993.0,1.0887451815417843,0.07045349524338791,1.6820446273262284,0.17275123187121558
2023-11,Armenia,Central & Eastern Europe & Central Asia,1459620.0,1382927.0,76693.0,0.8520928454888009,0.05513954987296184,0.515535037739506,0.018741304102289573
2023-11,Turkmenistan,Central & Eastern Europe & Central Asia,304940.0,379446.0,74506.0,0.8277943168996987,0.05356717435535048,0.8879741891660585,0.07247333296720253
2023-11,Greece,Central & Eastern Europe & Central Asia,7018443.0,7085489.0,67046.0,0.7449104470895929,0.04820369865284445,2.197649321262864,0.2760244084126796
2023-11,Azerbaijan,Central & Eastern Europe & Central Asia,2676597.0,2618703.0,57894.0,0.6432277156549964,0.041623734895560906,0.03914060132814583,0.035379007178633626
2023-11,North Macedonia,Central & Eastern Europe & Central Asia,828930.0,865966.0,37036.0,0.4114861933360702,0.026627571865685453,0.5887954726873478,0.05731073859727481
2023-11,Belarus,Central & Eastern Europe & Central Asia,4362308.0,4398331.0,36023.0,0.4002313193256631,0.02589926075487599,1.3286519220513318,0.16716413230084443
2023-11,Bosnia and Herzegovina,Central & Eastern Europe & Central Asia,1445250.0,1480509.0,35259.0,0.3917429444550302,0.02534997182234052,0.7021460543980105,0.07515839683710973
2023-11,Albania,Central & Eastern Europe & Central Asia,845520.0,819779.0,25741.0,0.28599379259811486,0.018506867031931343,0.0958430647904309,0.004885741534882435
2023-11,Latvia,Central & Eastern Europe & Central Asia,1400989.0,1382508.0,18481.0,0.20533201045047828,0.013287184243701613,0.10647181738509229,0.028477014911972926
2023-11,Estonia,Central & Eastern Europe & Central Asia,1366833.0,1380957.0,14124.0,0.15692383072358396,0.01015465560619239,0.4547235210522922,0.05488455510838876
2023-11,Montenegro,Central & Eastern Europe & Central Asia,385126.0,393852.0,8726.0,0.0969496847135368,0.006273684849875022,0.18114505811655152,0.019481482172025118
2023-11,Kyrgyzstan,Central & Eastern Europe & Central Asia,1483234.0,1481622.0,1612.0,0.017910026559502787,0.0011589708890669876,0.3084761692250495,0.04527856725619043
2023-11,South Korea,"East, Southeast Asia, & Pacific",30450761.0,17385540.0,13065221.0,48.48912268015575,9.39343101626965,37.24616601199609,9.761331332158592
2023-11,Vietnam,"East, Southeast Asia, & Pacific",21313906.0,18266422.0,3047484.0,11.310166551473701,2.191033027851997,5.915055953989355,1.8475295961157552
2023-11,Japan,"East, Southeast Asia, & Pacific",87722913.0,90669301.0,2946388.0,10.934967666856823,2.118348585543613,18.112657052420627,4.8201821136651635
2023-11,Australia,"East, Southeast Asia, & Pacific",23682184.0,21888161.0,1794023.0,6.658180626108129,1.2898389772435634,0.9477726194337354,0.7372855231314173
2023-11,New Zealand,"East, Southeast Asia, & Pacific",5113597.0,3666445.0,1447152.0,5.370833823999821,1.0404510174038892,4.492030838597204,1.0547034868643674
2023-11,Hong Kong,"East, Southeast Asia, & Pacific",10162997.0,8745225.0,1417772.0,5.261795452253719,1.0193278382967006,3.037195367816332,0.8650663733858964
2023-11,Philippines,"East, Southeast Asia, & Pacific",15999901.0,17197520.0,1197619.0,4.444738792790834,0.8610456310133479,7.816219209743039,1.488704745218945
2023-11,Indonesia,"East, Southeast Asia, & Pacific",31107038.0,31582960.0,475922.0,1.7662954376497026,0.3421710567410291,7.986755599920335,1.3460787783325494
2023-11,Singapore,"East, Southeast Asia, & Pacific",9125669.0,8723614.0,402055.0,1.4921518908229736,0.2890633007467914,0.5595893483846822,0.05010361398661654
2023-11,Thailand,"East, Southeast Asia, & Pacific",14466522.0,14857595.0,391073.0,1.4513942530246178,0.28116763182387966,4.647749873246052,0.7753137357134129
2023-11,Myanmar,"East, Southeast Asia, & Pacific",894122.0,648860.0,245262.0,0.9102440139956578,0.17633468870617092,0.7781675497468368,0.1787497350963572
2023-11,China,"East, Southeast Asia, & Pacific",295573.0,154580.0,140993.0,0.5232691336827139,0.10136897181279265,0.500894029599965,0.10970556483858249
2023-11,Taiwan,"East, Southeast Asia, & Pacific",21856724.0,21739323.0,117401.0,0.4357118407543941,0.08440715964476017,4.345638206694219,0.5820644589443459
2023-11,Cambodia,"East, Southeast Asia, & Pacific",1117526.0,1030305.0,87221.0,0.3237044187224897,0.06270880888046633,0.08800010005192979,0.038395242664702504
2023-11,Mongolia,"East, Southeast Asia, & Pacific",680722.0,645887.0,34835.0,0.12928358338241855,0.02504513084407476,0.019801463249563833,0.007972079217305002
2023-11,Laos,"East, Southeast Asia, & Pacific",307240.0,275852.0,31388.0,0.11649068796346643,0.022566859966522707,0.05450526253507347,0.01682346814138307
2023-11,Malaysia,"East, Southeast Asia, & Pacific",12780096.0,12809444.0,29348.0,0.1089196097346697,0.021100172240904436,2.9832324338003176,0.4233879715610069
2023-11,Papua New Guinea,"East, Southeast Asia, & Pacific",119330.0,91594.0,27736.0,0.10293697340877739,0.019941201351837447,0.08418523462995499,0.019658989726826528
2023-11,French Polynesia,"East, Southeast Asia, & Pacific",83917.0,94709.0,10792.0,0.04005248835547756,0.007759065654349212,0.06352745192976608,0.011751500000168304
2023-11,Fiji,"East, Southeast Asia, & Pacific",86680.0,96888.0,10208.0,0.03788508164684164,0.007339190344662413,0.06181282056335517,0.011345408374218187
2023-11,New Caledonia,"East, Southeast Asia, & Pacific",79043.0,85891.0,6848.0,0.025415070446470567,0.004923469384820553,0.046401132848968525,0.008268645986164157
2023-11,East Timor,"East, Southeast Asia, & Pacific",39620.0,35581.0,4039.0,0.014989992630446059,0.0029038979038099023,0.007015223603727144,0.0021630558416198984
2023-11,American Samoa,"East, Southeast Asia, & Pacific",3320.0,6414.0,3094.0,0.011482801980341696,0.0022244763838543792,0.013325837637137142,0.002716716856970471
2023-11,Solomon Islands,"East, Southeast Asia, & Pacific",13347.0,15670.0,2323.0,0.008621379767399405,0.0016701546993192385,0.01256718292009773,0.002381312446994133
2023-11,Guam,"East, Southeast Asia, & Pacific",70399.0,68743.0,1656.0,0.006145934091611458,0.0011906053302077738,0.009908242721391647,0.0008174672476813687
2023-11,Macao,"East, Southeast Asia, & Pacific",418022.0,419506.0,1484.0,0.00550758828016389,0.001066943423930155,0.10454600052749044,0.014404814164043551
2023-11,Tonga,"East, Southeast Asia, & Pacific",5632.0,6830.0,1198.0,0.004446152802989448,0.000861319556515044,0.0061859722407222924,0.0011887059393024017
2023-11,Palau,"East, Southeast Asia, & Pacific",5545.0,4760.0,785.0,0.0029133805929438365,0.0005643871885344822,0.0018728732878026619,0.000488255237801924
2023-11,Vanuatu,"East, Southeast Asia, & Pacific",12031.0,12671.0,640.0,0.002375240228642109,0.00046013732568416383,0.005434742947664409,0.0009189761765673399
2023-11,Brunei,"East, Southeast Asia, & Pacific",164657.0,164035.0,622.0,0.0023084365972115494,0.00044719596339929665,0.03633580481575605,0.004656502036169459
2023-11,Nauru,"East, Southeast Asia, & Pacific",938.0,1444.0,506.0,0.0018779243057701672,0.000363796073119042,0.002272669287256853,0.00045673287468498975
2023-11,Northern Mariana Islands,"East, Southeast Asia, & Pacific",11094.0,11378.0,284.0,0.001054012851459936,0.00020418593827234769,0.003770517841159601,0.0005889236362687426
2023-11,Cook Islands,"East, Southeast Asia, & Pacific",3304.0,3543.0,239.0,0.0008870037728835376,0.00017183253256017992,0.0017489397353440221,0.00030576856507147533
2023-11,Wallis and Futuna,"East, Southeast Asia, & Pacific",1480.0,1704.0,224.0,0.000831334080024738,0.00016104806398945735,0.001257482850012184,0.00023569996267019182
2023-11,Federated States of Micronesia,"East, Southeast Asia, & Pacific",4919.0,4736.0,183.0,0.0006791702528773531,0.0001315705165628156,0.0004196070787093628,3.051827163926332e-07
2023-11,Tuvalu,"East, Southeast Asia, & Pacific",287.0,412.0,125.0,0.0004639141071566619,8.987057142268825e-05,0.0005744859386165751,0.00011456917065453478
2023-11,Norfolk Island,"East, Southeast Asia, & Pacific",406.0,520.0,114.0,0.0004230896657268756,8.196196113749167e-05,0.0005579915417515612,0.00010902708677496362
2023-11,North Korea,"East, Southeast Asia, & Pacific",159.0,59.0,100.0,0.00037113128572532954,7.18964571381506e-05,0.000367835731478769,7.942536141529357e-05
2023-11,Marshall Islands,"East, Southeast Asia, & Pacific",3640.0,3541.0,99.0,0.0003674199728680762,7.117749256676908e-05,0.00045812892578468397,3.0972916313264524e-05
2023-11,Samoa,"East, Southeast Asia, & Pacific",10840.0,10915.0,75.0,0.00027834846429399717,5.392234285361294e-05,0.002863380447221702,0.000404474898583969
2023-11,Kiribati,"East, Southeast Asia, & Pacific",2975.0,3031.0,56.0,0.0002078335200061845,4.026201599736434e-05,0.0009294375412030686,0.00014090919062646122
2023-11,Tokelau,"East, Southeast Asia, & Pacific",13.0,57.0,44.0,0.00016329776571914498,3.163444114078626e-05,0.00018143580893783433,3.755807573543028e-05
2023-11,Niue,"East, Southeast Asia, & Pacific",9.0,4.0,5.0,1.8556564286266476e-05,3.59482285690753e-06,1.814388137810566e-05,3.938223033585611e-06
2023-11,Cocos (Keeling) Islands,"East, Southeast Asia, & Pacific",6.0,9.0,3.0,1.1133938571759886e-05,2.1568937141445177e-06,1.3578025819719478e-05,2.7217141181732685e-06
2023-11,Christmas Island,"East, Southeast Asia, & Pacific",1.0,4.0,3.0,1.1133938571759886e-05,2.1568937141445177e-06,1.239745737011454e-05,2.5643543527235707e-06
2023-11,Pitcairn Islands,"East, Southeast Asia, & Pacific",2.0,3.0,1.0,3.7113128572532953e-06,7.189645713815059e-07,4.52600876288034e-06,9.072380448192521e-07
2023-11,U.S. Outlying Islands,"East, Southeast Asia, & Pacific",,7.0,,,,,
2023-11,Brazil,Latin America & Caribbean,41168849.0,47009472.0,5840623.0,30.37998867217772,4.1992010117959655,30.62702512175763,5.922102901846935
2023-11,Mexico,Latin America & Caribbean,28875305.0,32896388.0,4021083.0,20.915655057668747,2.89101621558446,14.718407791840368,4.156431510028955
2023-11,Argentina,Latin America & Caribbean,14950033.0,17119732.0,2169699.0,11.28568494183503,1.559936711561882,1.9137695791395564,2.2613031232027794
2023-11,Colombia,Latin America & Caribbean,11285181.0,13415665.0,2130484.0,11.081708198980808,1.5317425158951563,7.724770087931258,2.123681184215521
2023-11,Peru,Latin America & Caribbean,7078747.0,8284361.0,1205614.0,6.270998772394465,0.8667937527615429,3.55411299685389,1.2299274112198368
2023-11,Chile,Latin America & Caribbean,7815479.0,8648654.0,833175.0,4.333758070319155,0.5990233067607862,5.1171948917683725,0.9409825729836103
