wiki_db,total_views,unique_pages
pi.wikipedia,10927,69
ang.wikipedia,10762,41
om.wikipedia,10669,28
pdc.wikipedia,10657,58
myv.wikipedia,10024,66
lad.wikipedia,10011,21
olo.wikipedia,9860,19
crh.wikipedia,9771,19
pcd.wikipedia,9643,38
dty.wikipedia,9169,25
udm.wikipedia,9156,77
lez.wikipedia,8375,23
rm.wikipedia,8149,20
csb.wikipedia,8103,73
nap.wikipedia,7868,50
nv.wikipedia,7685,59
kaa.wikipedia,7338,15
ik.wikipedia,7127,14
bm.wikipedia,6273,9
st.wikipedia,5978,12
gor.wikipedia,5958,7
pag.wikipedia,5660,5
av.wikipedia,5624,24
mnw.wikipedia,5580,25
pih.wikipedia,5494,7
ami.wikipedia,5401,6
ace.wikipedia,5219,13
dsb.wikipedia,4869,27
ki.wikipedia,4800,14
lg.wikipedia,4713,38
glk.wikipedia,4342,5
smn.wikipedia,4288,20
gom.wikipedia,4261,46
krc.wikipedia,3949,8
guw.wikipedia,3931,50
kcg.wikipedia,3910,30
zea.wikipedia,3783,6
ak.wikipedia,3713,11
nso.wikipedia,3595,11
bi.wikipedia,3575,4
rmy.wikipedia,3510,3
mrj.wikipedia,3445,41
kg.wikipedia,3192,6
shn.wikipedia,2775,51
ltg.wikipedia,2696,12
chy.wikipedia,2618,14
din.wikipedia,2454,5
ab.wikipedia,2449,9
mi.wikipedia,2422,8
ny.wikipedia,2324,18
sm.wikipedia,2290,5
awa.wikipedia,2200,10
skr.wikipedia,2082,44
nqo.wikipedia,1674,14
chr.wikipedia,1658,7
koi.wikipedia,1553,21
ti.wikipedia,1340,7
kl.wikipedia,1227,2
rn.wikipedia,1168,3
ss.wikipedia,1123,7
to.wikipedia,1090,7
kv.wikipedia,979,8
pnt.wikipedia,918,1
avk.wikipedia,896,18
tet.wikipedia,882,2
tw.wikipedia,788,8
xal.wikipedia,784,1
mad.wikipedia,776,9
bpy.wikipedia,694,9
kbd.wikipedia,686,4
gag.wikipedia,531,17
ee.wikipedia,465,3
bug.wikipedia,457,1
ff.wikipedia,79,1
tum.wikipedia,40,1
srn.wikipedia,38,1
alt.wikipedia,29,1
