month,country,wmf_region,current_metric,previous_metric,absolute_change,simple_calculation_regional,simple_calculation_global,formula_result_percentage_regional,formula_result_percentage_global
2023-11,Brazil,Latin America & Caribbean,48441259,57309998,8868739,37.35683967252222,37.35683967252222,11.0475660909166,11.047566090916602
2023-11,Mexico,Latin America & Caribbean,35483474,40533629,5050155,21.272227162890513,21.272227162890513,11.14474017153185,11.144740171531852
2023-11,Colombia,Latin America & Caribbean,13787670,16027551,2239881,9.434810901812392,9.434810901812392,4.34321981899667,4.343219818996671
2023-11,Argentina,Latin America & Caribbean,18414973,20604060,2189087,9.22085677436247,9.22085677436247,6.637997757418187,6.637997757418187
2023-11,Peru,Latin America & Caribbean,8934468,10050099,1115631,4.699253005494427,4.699253005494427,1.4663873338314737,1.466387333831474
2023-11,Chile,Latin America & Caribbean,10086567,10793827,707260,2.9791155683787816,2.9791155683787816,10.168593811936795,10.168593811936796
2023-11,Ecuador,Latin America & Caribbean,4649035,5243526,594491,2.5041107843806665,2.5041107843806665,0.2935187200771079,0.2935187200771079
2023-11,Dominican Republic,Latin America & Caribbean,3105656,3628710,523054,2.2032043583728687,2.2032043583728687,1.9422271378555573,1.9422271378555578
2023-11,Bolivia,Latin America & Caribbean,2609943,2930118,320175,1.3486388698720078,1.3486388698720078,0.32193868544574744,0.3219386854457475
2023-11,Venezuela,Latin America & Caribbean,6312926,6569662,256736,1.0814215628811112,1.0814215628811112,9.2922057833106,9.292205783310601
2023-11,Puerto Rico,Latin America & Caribbean,1621247,1387738,233509,0.9835849578041468,0.9835849578041468,7.463830566479354,7.463830566479356
2023-11,Bahamas,Latin America & Caribbean,368573,162605,205968,0.8675769524472483,0.8675769524472483,4.325122361107628,4.325122361107629
2023-11,Guatemala,Latin America & Caribbean,1998153,2186416,188263,0.7930000767040332,0.7930000767040332,1.1835964507267271,1.1835964507267274
2023-11,Haiti,Latin America & Caribbean,592554,431630,160924,0.6778429343180542,0.6778429343180542,4.037602286053634,4.037602286053635
2023-11,Belize,Latin America & Caribbean,240752,102338,138414,0.5830264715685612,0.5830264715685612,2.8940359449903346,2.8940359449903355
2023-11,Honduras,Latin America & Caribbean,1104408,1237093,132685,0.5588948182992657,0.5588948182992657,0.16397745758745524,0.16397745758745527
2023-11,El Salvador,Latin America & Caribbean,1055858,1186651,130793,0.5509253492845148,0.5509253492845148,0.0895230627440555,0.08952306274405553
2023-11,Paraguay,Latin America & Caribbean,1583760,1485173,98587,0.41526746393088665,0.41526746393088665,5.107596458799684,5.1075964587996845
2023-11,Panama,Latin America & Caribbean,1761136,1844413,83277,0.3507787902438704,0.3507787902438704,2.4286144949492066,2.428614494949207
2023-11,Cuba,Latin America & Caribbean,897017,814432,82585,0.34786395273953236,0.34786395273953236,3.3606702808220956,3.3606702808220965
2023-11,Nicaragua,Latin America & Caribbean,809167,889683,80516,0.33914892557699566,0.33914892557699566,0.4007931497001386,0.40079314970013863
2023-11,Uruguay,Latin America & Caribbean,2260446,2310347,49901,0.2101926391675898,0.2101926391675898,4.066380932535162,4.0663809325351625
2023-11,Trinidad and Tobago,Latin America & Caribbean,452928,491045,38117,0.16055615773533638,0.16055615773533638,0.3416364775490608,0.34163647754906085
2023-11,Barbados,Latin America & Caribbean,137065,172519,35454,0.14933908797514536,0.14933908797514536,0.30579820280935,0.30579820280935005
2023-11,Jamaica,Latin America & Caribbean,521142,555479,34337,0.14463406847753613,0.14463406847753613,0.5553601438445608,0.5553601438445609
2023-11,Costa Rica,Latin America & Caribbean,2061080,2090252,29172,0.1228780920181345,0.1228780920181345,3.984354166058072,3.9843541660580724
2023-11,Suriname,Latin America & Caribbean,163002,188324,25322,0.10666114925556018,0.10666114925556018,0.07562998536078884,0.07562998536078885
2023-11,Antigua and Barbuda,Latin America & Caribbean,31832,48669,16837,0.07092069228401654,0.07092069228401654,0.21844142510536402,0.21844142510536405
2023-11,Martinique,Latin America & Caribbean,181675,196669,14994,0.0631576207226076,0.0631576207226076,0.14187306333307156,0.14187306333307156
2023-11,Saint Barthélemy,Latin America & Caribbean,1043,12157,11114,0.046814312172272964,0.046814312172272964,0.18805931202862325,0.18805931202862328
2023-11,French Guiana,Latin America & Caribbean,107031,117006,9975,0.04201662443030617,0.04201662443030617,0.0640229211979541,0.06402292119795411
2023-11,United States Virgin Islands,Latin America & Caribbean,47899,38999,8900,0.0374885170355614,0.0374885170355614,0.25742582796119673,0.2574258279611968
2023-11,Grenada,Latin America & Caribbean,34744,42820,8076,0.034017670065077964,0.034017670065077964,0.06206173829192876,0.06206173829192877
2023-11,Guyana,Latin America & Caribbean,130696,137582,6886,0.029005160483918626,0.029005160483918626,0.1687494182817665,0.16874941828176657
2023-11,Saint Kitts and Nevis,Latin America & Caribbean,20159,26803,6644,0.027985809795985386,0.027985809795985386,0.0695501076871043,0.06955010768710432
2023-11,Curaçao,Latin America & Caribbean,99844,106361,6517,0.0274508612944667,0.0274508612944667,0.10742225814293965,0.10742225814293967
